//
// File: C:\Users\student\Desktop\15.txt
//
// Produced by OpenTrack: Sat Apr 29 13:51:56 2023
// Rolling Stock Export (Metrolinx-Format)
//
// Section #Engine#
//
// Engine Name	Load [t]	Adh. Load [t]	Length [m]	Rot. Mass Factor	Speed max. [km/h]	Tractive Effort Mac. [kN]	Balise Telegram	Loop Telegram	Radio Telegram	Rack Traction
TE33A	138.000	138.000	21	1.060	187	533	1	0	1	0
//
// Section #TE Curve#
//
// Engine Name	Curve Name	Adh. good [%]	Adh. normal [%]	Adh. bad [%]	Curve No.	System	Speed [km/h]	Force [N]
TE33A	Diagram 1	750	125	80	1	Universal Electric	0	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	1	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	2	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	3	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	4	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	5	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	6	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	7	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	8	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	9	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	10	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	11	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	12	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	13	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	14	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	15	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	16	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	17	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	18	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	19	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	20	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	21	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	22	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	23	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	24	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	25	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	26	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	27	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	28	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	29	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	30	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	31	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	32	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	33	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	34	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	35	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	36	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	37	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	38	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	39	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	40	533000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	41	520000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	42	507000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	43	496000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	44	485000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	45	474000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	46	464000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	47	454000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	48	445000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	49	436000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	50	427000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	51	419000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	52	411000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	53	403000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	54	396000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	55	389000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	56	382000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	57	375000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	58	369000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	59	362000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	60	357000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	61	351000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	62	345000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	63	340000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	64	335000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	65	329000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	66	325000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	67	320000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	68	315000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	69	311000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	70	306000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	71	302000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	72	298000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	73	294000.0
TE33A	Diagram 1	750	125	80	1	Universal Electric	74	290000.0
